"In_your_own_words,_what_would_you_call_the_part_of_?",Personally_identification_as_a_Midwesterner?,Illinois_in_MW?,Indiana_in_MW?,Iowa_in_MW?,Kansas_in_MW?,Michigan_in_MW?,Minnesota_in_MW?,Missouri_in_MW?,Nebraska_in_MW?,North_Dakota_in_MW?,Ohio_in_MW?,South_Dakota_in_MW?,Wisconsin_in_MW?,Arkansas_in_MW?,Colorado_in_MW?,Kentucky_in_MW?,Oklahoma_in_MW?,Pennsylvania_in_MW?,West_Virginia_in_MW?,Montana_in_MW?,Wyoming_in_MW?,ZIP_Code,Gender,Age,Household_Income,Education,Location_(Census_Region)
PNW,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,98070,Male,45-60,"$25,000 - $49,999",Associate or bachelor degree,Pacific
California,Not at all,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,94949,Male,45-60,"$25,000 - $49,999",Associate or bachelor degree,Pacific
The West,Not at all,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes,Yes,92021,Female,30-44,"$25,000 - $49,999",Associate or bachelor degree,Pacific
Pacific Northwest,Not much,No,No,No,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,98058,Female,30-44,"$25,000 - $49,999",Associate or bachelor degree,Pacific
West Coast,Not at all,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,90250,Male,30-44,"$25,000 - $49,999",Associate or bachelor degree,Pacific
west coast,Not at all,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,90020,Male,30-44,"$25,000 - $49,999",Associate or bachelor degree,Pacific
Central Valley of California,Some,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No,Yes,95340,Male,30-44,"$25,000 - $49,999",Associate or bachelor degree,Pacific
"Pacific Northwest, Cascadia",Not at all,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,98225,Female,18-29,"$25,000 - $49,999",Associate or bachelor degree,Pacific
Pacific Northwest,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,98052,Female,18-29,"$25,000 - $49,999",Associate or bachelor degree,Pacific
Pacific Northwest,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,98272,Male,18-29,"$25,000 - $49,999",Associate or bachelor degree,Pacific
Alaska,Not at all,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,Yes,No,Yes,No,No,No,Yes,99801,Male,18-29,"$25,000 - $49,999",Associate or bachelor degree,Pacific
Pacific Northwest,Not at all,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,99016,Female,> 60,"$0 - $24,999",Associate or bachelor degree,Pacific
Pacific North West,Not at all,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,94580,Male,> 60,"$0 - $24,999",Associate or bachelor degree,Pacific
Beautiful,A lot,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,90505,Male,30-44,"$0 - $24,999",Associate or bachelor degree,Pacific
The Bay Area,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,94708,Female,18-29,"$0 - $24,999",Associate or bachelor degree,Pacific
Northern California,Not at all,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,95219,Male,45-60,,Associate or bachelor degree,Pacific
Pacific Northwest,Not at all,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,98115,Male,30-44,,Associate or bachelor degree,Pacific
california,Not at all,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,Yes,94553,Female,> 60,"$150,000+",Some college,Pacific
West,Not much,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,93292,Female,> 60,"$150,000+",Some college,Pacific
West,A lot,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,91792,Female,> 60,"$150,000+",Some college,Pacific
Pacific NW,Some,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,98021,Male,> 60,"$150,000+",Some college,Pacific
Sunny California,Not at all,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,91350,Female,45-60,"$150,000+",Some college,Pacific
Pacific Northwest,Not at all,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,98290,Female,45-60,"$150,000+",Some college,Pacific
west coast,Not much,No,No,Yes,Yes,No,No,No,Yes,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,92708,Female,45-60,"$150,000+",Some college,Pacific
west coast,A lot,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,95116,Female,45-60,"$150,000+",Some college,Pacific
PACIFIC NORTH WEST,Not at all,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,98908,Male,45-60,"$150,000+",Some college,Pacific
Southern California,Not at all,No,No,No,Yes,No,No,No,Yes,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,92026,Female,45-60,"$150,000+",Some college,Pacific
The best evn climate. Not to hot or not to cold.,Not at all,No,Yes,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,98296,Male,45-60,"$150,000+",Some college,Pacific
Sunny Southern California,Not at all,Yes,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,Yes,No,No,Yes,Yes,90242,Female,45-60,"$150,000+",Some college,Pacific
North west,Some,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,97306,Male,45-60,"$150,000+",Some college,Pacific
Southern California,Not at all,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,93001,Male,30-44,"$150,000+",Some college,Pacific
Pacific Northwest,Not at all,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,97801,Female,30-44,"$150,000+",Some college,Pacific
Pacific Northwest,Not at all,No,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,97702,Male,30-44,"$150,000+",Some college,Pacific
Southern California,Not at all,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes,91750,Male,30-44,"$150,000+",Some college,Pacific
Bay Area,A lot,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,94544,Male,30-44,"$150,000+",Some college,Pacific
California,Not at all,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,94531,Female,18-29,"$150,000+",Some college,Pacific
Pacific Northwest,Not at all,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,97211,Female,18-29,"$150,000+",Some college,Pacific
The West Coast,Not at all,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes,Yes,94613,Female,18-29,"$150,000+",Some college,Pacific
Pacific Northwest,Not much,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,97140,Female,18-29,"$150,000+",Some college,Pacific
Northern California,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,95616,Female,18-29,"$150,000+",Some college,Pacific
west coast,Not at all,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No,95695,Male,18-29,"$150,000+",Some college,Pacific
North West,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,98119,Male,18-29,"$150,000+",Some college,Pacific
Practically perfect,Not much,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,94597,Female,> 60,"$100,000 - $149,999",Some college,Pacific
Southern California,A lot,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,Yes,No,No,92683,Male,> 60,"$100,000 - $149,999",Some college,Pacific
west coast,Not at all,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,93063,Female,45-60,"$100,000 - $149,999",Some college,Pacific
"The greatest part of the country. Always something to do. The climate is just right, alm,ost always. Four definite but fairly mild seasons compared to the rest of the country.",Not at all,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,95709,Female,45-60,"$100,000 - $149,999",Some college,Pacific
west coast,Not at all,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,Yes,95758,Female,45-60,"$100,000 - $149,999",Some college,Pacific
Wet but beautiful when the sun comes out,Not at all,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,98226,Female,45-60,"$100,000 - $149,999",Some college,Pacific
West,Not at all,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,Yes,95426,Male,45-60,"$100,000 - $149,999",Some college,Pacific
Pacific Northwest,Not at all,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,98501,Male,45-60,"$100,000 - $149,999",Some college,Pacific
Southern California,Not at all,No,No,No,No,No,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,92024,Female,30-44,"$100,000 - $149,999",Some college,Pacific
SoCal,Not much,No,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,92223,Female,30-44,"$100,000 - $149,999",Some college,Pacific
Northwest,A lot,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,98042,Female,30-44,"$100,000 - $149,999",Some college,Pacific
West,Some,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,94550,Female,30-44,"$100,000 - $149,999",Some college,Pacific
Pacific Northwest,Not at all,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,97756,Male,30-44,"$100,000 - $149,999",Some college,Pacific
Southwest,Not at all,No,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,Yes,Yes,90713,Male,18-29,"$100,000 - $149,999",Some college,Pacific
Alaska,Not at all,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,99517,Male,18-29,"$100,000 - $149,999",Some college,Pacific
Pacific Northwest,Not at all,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,98248,Male,18-29,"$100,000 - $149,999",Some college,Pacific
west,A lot,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,95758,Male,18-29,"$100,000 - $149,999",Some college,Pacific
"""America"" ---  West Coast",Not at all,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,95822,Female,> 60,"$50,000 - $99,999",Some college,Pacific
California foothills,Not at all,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,95634,Female,> 60,"$50,000 - $99,999",Some college,Pacific
mountains south west,Not at all,No,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No,92036,Male,> 60,"$50,000 - $99,999",Some college,Pacific
southwestern pacific,Not at all,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,92117,Male,> 60,"$50,000 - $99,999",Some college,Pacific
Northwest country,Not at all,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,97754,Female,> 60,"$50,000 - $99,999",Some college,Pacific
"Sunny, southern Ca.",Not at all,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,93831,Male,> 60,"$50,000 - $99,999",Some college,Pacific
West Coast,Not at all,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,No,No,Yes,93940,Male,45-60,"$50,000 - $99,999",Some college,Pacific
West Coast.  Left Wing radicals that have no clue of life and trying to mess up everything,Not much,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,94806,Male,45-60,"$50,000 - $99,999",Some college,Pacific
USA,Not at all,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,92618,Female,30-44,"$50,000 - $99,999",Some college,Pacific
Pacific Northwest,A lot,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Yes,97216,Female,30-44,"$50,000 - $99,999",Some college,Pacific
I live on the west coast.,Not at all,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,Yes,Yes,97206,Male,30-44,"$50,000 - $99,999",Some college,Pacific
Central California,Not much,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,93455,Male,30-44,"$50,000 - $99,999",Some college,Pacific
WestCoast,Some,Yes,No,No,No,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,90601,Male,30-44,"$50,000 - $99,999",Some college,Pacific
west,Some,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,97501,Male,30-44,"$50,000 - $99,999",Some college,Pacific
Hawaii,A lot,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,96734,Female,18-29,"$50,000 - $99,999",Some college,Pacific
pacific west,Not at all,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,91722,Female,> 60,"$25,000 - $49,999",Some college,Pacific
Southern California,Not at all,No,No,Yes,No,Yes,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,92083,Female,> 60,"$25,000 - $49,999",Some college,Pacific
Northwest,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,97202,Female,> 60,"$25,000 - $49,999",Some college,Pacific
Pacific Coast  South West United States,Not much,No,No,No,Yes,No,No,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,No,Yes,Yes,91040,Female,45-60,"$25,000 - $49,999",Some college,Pacific
the west,Not at all,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,95207,Male,45-60,"$25,000 - $49,999",Some college,Pacific
north east,Not at all,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,95641,Male,45-60,"$25,000 - $49,999",Some college,Pacific
North America,Not at all,No,No,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,Yes,No,90018,Female,30-44,"$25,000 - $49,999",Some college,Pacific
Pacific Northwest,Not at all,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,98663,Female,30-44,"$25,000 - $49,999",Some college,Pacific
SOUTHERN CALIFORNIA,Not at all,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,92887,Female,30-44,"$25,000 - $49,999",Some college,Pacific
Pacific Coast,A lot,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,91942,Female,30-44,"$25,000 - $49,999",Some college,Pacific
an island,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,96818,Male,30-44,"$25,000 - $49,999",Some college,Pacific
North west,Not at all,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,97223,Male,30-44,"$25,000 - $49,999",Some college,Pacific
The west coast,Not at all,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,93422,Female,18-29,"$25,000 - $49,999",Some college,Pacific
The beautiful Northwest of the United States.,Not at all,No,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,No,Yes,97402,Female,> 60,"$0 - $24,999",Some college,Pacific
Pacific Coast,Not at all,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,92706,Female,30-44,"$0 - $24,999",Some college,Pacific
Western part of U.S.,Some,Yes,No,No,No,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,91356,Female,30-44,"$0 - $24,999",Some college,Pacific
Pacific Northwest,Not at all,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,No,97330,Female,30-44,"$0 - $24,999",Some college,Pacific
Land of Opportunity,Not at all,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,92126,Female,30-44,"$0 - $24,999",Some college,Pacific
CA,Some,Yes,No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,96161,Female,18-29,"$0 - $24,999",Some college,Pacific
West coast,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,92104,Male,18-29,"$0 - $24,999",Some college,Pacific
Big Lake,Some,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,55455,Male,18-29,"$0 - $24,999",Some college,Pacific
Western USA,Not at all,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,95370,Female,45-60,,Some college,Pacific
coastal,Not much,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,95608,Female,45-60,"$150,000+",High school degree,Pacific
Pacific northwest,Not much,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,98031,Female,> 60,"$100,000 - $149,999",High school degree,Pacific
Pleasant,Some,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,92020,Male,45-60,"$50,000 - $99,999",High school degree,Pacific
North west,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,No,No,Yes,Yes,95521,Female,30-44,"$50,000 - $99,999",High school degree,Pacific
Pacific Northwest.,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,97301,Female,18-29,"$50,000 - $99,999",High school degree,Pacific
Heaven,Not much,No,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,98524,Male,> 60,"$25,000 - $49,999",High school degree,Pacific
Southern clifornia,Not at all,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,Yes,92324,Male,45-60,"$25,000 - $49,999",High school degree,Pacific
The North West,Not at all,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,98632,Male,45-60,"$25,000 - $49,999",High school degree,Pacific
"Mojave Desert, California",Not at all,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,93534,Female,30-44,"$25,000 - $49,999",High school degree,Pacific
Bad,Not at all,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,95023,Male,45-60,"$0 - $24,999",High school degree,Pacific
CA,Not at all,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,91001,Male,30-44,"$0 - $24,999",High school degree,Pacific
The northeastern part of the southern half of the North West,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,97862,Male,18-29,"$0 - $24,999",High school degree,Pacific
California,Not at all,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,94121,Female,> 60,"$150,000+",Less than high school degree,Pacific
West coast,Not at all,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,93436,Male,18-29,"$50,000 - $99,999",Less than high school degree,Pacific
southern california,Not at all,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,91950,Male,45-60,"$0 - $24,999",Less than high school degree,Pacific
Western,Not at all,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,95132,Male,30-44,"$0 - $24,999",Less than high school degree,Pacific
West Coast,Not at all,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,93454,Male,45-60,,,Pacific
Colorado mountains,A lot,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,80447,Female,> 60,"$150,000+",Graduate degree,Mountain
Mid eastern coastal,A lot,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,22578,Female,> 60,"$150,000+",Graduate degree,Mountain
Rocky Mountain Region,Not at all,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,80013,Male,> 60,"$150,000+",Graduate degree,Mountain
Southwest,A lot,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,87144,Male,> 60,"$150,000+",Graduate degree,Mountain
Rocky Mountain Region,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes,80223,Female,45-60,"$150,000+",Graduate degree,Mountain
southwest,Not much,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,85253,Female,45-60,"$150,000+",Graduate degree,Mountain
West,A lot,No,No,No,Yes,No,No,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,Yes,82009,Male,45-60,"$150,000+",Graduate degree,Mountain
West,Some,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,82718,Male,45-60,"$150,000+",Graduate degree,Mountain
West,Not at all,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,85042,Female,30-44,"$150,000+",Graduate degree,Mountain
Southwest,Not at all,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,87505,Female,30-44,"$150,000+",Graduate degree,Mountain
The Wild West,Not much,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,80513,Female,30-44,"$150,000+",Graduate degree,Mountain
A community with a Bird Sanctuary that is on the outskirts of Denver.,A lot,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,Yes,Yes,80033,Female,30-44,"$150,000+",Graduate degree,Mountain
arizona,Not at all,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,85050,Male,30-44,"$150,000+",Graduate degree,Mountain
Rocky Mountains,A lot,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,80301,Male,18-29,"$150,000+",Graduate degree,Mountain
Rocky Mountains,Some,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,80906,Female,> 60,"$100,000 - $149,999",Graduate degree,Mountain
Southwest,Not at all,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,85308,Male,> 60,"$100,000 - $149,999",Graduate degree,Mountain
west,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,84106,Male,> 60,"$100,000 - $149,999",Graduate degree,Mountain
Southwest or Rocky Mountains,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,81303,Female,45-60,"$100,000 - $149,999",Graduate degree,Mountain
Southwest,Not at all,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,85635,Male,45-60,"$100,000 - $149,999",Graduate degree,Mountain
West,Not much,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No,80033,Male,45-60,"$100,000 - $149,999",Graduate degree,Mountain
Midwest.,Some,No,No,No,Yes,No,No,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,Yes,80026,Male,45-60,"$100,000 - $149,999",Graduate degree,Mountain
Mountains or west,Some,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,80421,Female,30-44,"$100,000 - $149,999",Graduate degree,Mountain
I live in the Rocky Mountain region.,Some,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,80003,Male,30-44,"$100,000 - $149,999",Graduate degree,Mountain
Southwest,Some,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,80021,Female,18-29,"$100,000 - $149,999",Graduate degree,Mountain
Southwest,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,80003,Female,> 60,"$50,000 - $99,999",Graduate degree,Mountain
West,Some,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,80003,Female,> 60,"$50,000 - $99,999",Graduate degree,Mountain
